name,energy_kcal,protein_g,fat_g,carbohydrate_g,sugar_g
Pucuk lumai / daun leunca,0.000760233918128655,0.0275,0.013658536585365854,0.009513742071881607,0.0029850746268656
Ayam goreng church texas,0.000760233918128655,0.24583333333333335,0.007317073170731707,0.0718816067653277,0.1194029850746268
Wortel rebus,0.016374269005847954,0.0005833333333333334,0.0024390243902439024,0.01331923890063425,0.0
Babi,0.058479532163742694,0.00125,0.09609756097560976,0.27272727272727276,0.0126865671641791
Gekikara ramen 109 gram,0.0935672514619883,0.007500000000000001,0.08780487804878048,0.15644820295983086,0.0298507462686567
Kopi Indocafe coffemix 3 in 1,0.052631578947368425,0.0008333333333333334,0.00975609756097561,0.03594080338266385,0.0970149253731343
Sprite 390 ml,0.0,0.0,0.0,0.052854122621564484,0.1865671641791044
Nutri boost orange,0.09941520467836258,0.0016666666666666668,0.007317073170731707,0.07822410147991543,0.0
Ketan putih,"5,85E+10",0.14333333333333334,0.18292682926829268,0.0063424947145877385,0.003731343283582
Rempeyek kacang tanah,0.3,0.014583333333333334,0.15853658536585366,0.09365750528541227,0.0
Kacang merah / banda,0.20467836257309943,0.011583333333333334,0.014634146341463414,0.14143763213530658,0.0
Kacang gude,0.0013450292397660817,0.095,0.10146341463414635,0.014799154334038056,0.0044776119402985
Mr. Bread Roti tawar choco chips,0.13274853801169592,0.005833333333333334,0.024390243902439025,0.08139534883720931,0.0597014925373134
Royco kaldu sapi,0.0,0.0,0.0,0.0,0.0
Frisian Flag kental manis kemasan ekonomis 560 gram,0.08187134502923976,0.0008333333333333334,0.1951219512195122,0.048625792811839326,0.1417910447761194
Starbucks iced caffe latte (notfat milk),0.052631578947368425,0.006666666666666667,0.0,0.027484143763213533,0.0
Starbucks hot caffe latte (notfat milk),0.07602339181286549,0.010833333333333334,0.0,0.042283298097251586,0.0
Tempe kedelai murni goreng,0.20467836257309943,0.020416666666666666,0.12975609756097561,0.021987315010570826,0.0
Chitato keripik kentang rasa original,0.058479532163742694,0.0008333333333333334,0.024390243902439025,0.025369978858350954,0.0
Whiskey,0.14619883040935672,0.0,0.0,0.00021141649048625794,0.0
Beras ketan hitam tumbuk,0.0008771929824561404,0.30000000000000004,0.36341463414634145,0.016913319238900635,0.0171641791044776
Khong Guan Malkist abon,0.04678362573099415,0.0016666666666666668,0.014634146341463414,0.027484143763213533,0.0223880597014925
Oreo,0.08187134502923976,0.0008333333333333334,0.029268292682926828,0.04439746300211417,0.0820895522388059
kurma,0.1649122807017544,0.002041666666666667,0.0019024390243902439,0.15862579281183933,0.0
Nopia spesial,0.22631578947368422,0.004416666666666667,0.037073170731707315,0.15708245243128965,0.0
Cheesecake Factory Oreo dream extreme cheesecake,0.9473684210526316,0.014166666666666668,0.48292682926829267,0.37632135306553915,1.0
Sedaap Tasty bakmi ayam geprek matah,0.11111111111111112,0.011666666666666667,0.1024390243902439,0.17124735729386892,0.0149253731343283
Sate bandeng,0.1654970760233918,0.010083333333333333,0.08195121951219513,0.044186046511627906,0.0
Daun kemang,0.0009941520467836257,0.035833333333333335,0.036585365853658534,0.011627906976744186,0.0022388059701492
Saus sambal ABC,0.016374269005847954,0.0,0.0,0.012684989429175477,0.0373134328358208
Coklat Hershey's kisses milk chocolate,0.012865497076023392,0.00025,0.006341463414634147,0.005919661733615222,0.0194029850746268
Ikan Tempahas,0.0005263157894736842,0.08416666666666667,0.004878048780487805,0.03192389006342495,0.0305970149253731
Sapi,0.058479532163742694,0.005,0.07804878048780488,0.6109936575052854,0.0
Chitato fresh potato,0.06432748538011696,0.0008333333333333334,0.029268292682926828,0.025369978858350954,0.0
Oncom ampas kacang hijau,0.2198830409356725,0.012416666666666668,0.029268292682926828,0.13890063424947147,0.0
good day mocacino,0.052631578947368425,0.0008333333333333334,0.00975609756097561,0.03382663847780127,0.0970149253731343
Lamtoro var. lokal dengan kulit,0.19649122807017544,0.019833333333333335,0.005853658536585366,0.12621564482029599,0.0
Teh botol sosro original,0.08187134502923976,0.0,0.0,0.0718816067653277,0.2388059701492537
Daun leilem,0.0010526315789473684,0.06333333333333334,0.07707317073170732,0.005919661733615222,0.0014925373134328
Mcdonald Mc double,0.22222222222222224,0.01916666666666667,0.08780487804878048,0.0718816067653277,0.0522388059701492
Keripik tempe abadi telur,0.30935672514619883,0.017333333333333336,0.1546341463414634,0.0849894291754757,0.0
Angsa,0.058479532163742694,0.0008333333333333334,0.07999999999999999,0.7378435517970402,0.0
Keripik tempe abadi sedang,0.2982456140350877,0.01025,0.13609756097560974,0.11078224101479915,0.0
Goodday Funtastic mocacinno,0.08187134502923976,0.0025,0.012195121951219513,0.054968287526427066,0.1343283582089552
